id,titulo,autor,tema,año,portada,ubicación,pdf
1,Acuerdos de Colaboración para la Gestión Territorial en Santiago El Pinar,"Consejo Municipal, IDESMAC",Acuerdos,2013,http://idesmac.org.mx/images/publicaciones/ACGT1.jpg,santiago el pinar,
2,Acuerdos de Colaboración para la Gestión Territorial en Sitalá,"Consejo Municipal, IDESMAC",Acuerdos,2014,http://idesmac.org.mx/images/publicaciones/ACGT2.jpg,sitala,
3,Acuerdos de Colaboración para la Gestión Territorial en San Juan Cancuc,"consejo Municipal, IDESMAC",acuerdos,2013,http://idesmac.org.mx/images/publicaciones/ACGT_cancuc.jpg,san juan cancuc,
4,Acuerdos Municipales para la Gestión Hidríca de Calakmul,"consejo Municipal, IDESMAC",acuerdos,2014,http://idesmac.org.mx/images/publicaciones/plan_de_agua.jpg,calakmul,
5,"Diagnóstico de la Situación del Desarrollo en el municipio de Calakmul, Campeche ","Arturo Arreola, Roberto Delgadillo, Adrian López, Gerardo García-Gil",calakmul,2004,http://idesmac.org.mx/images/publicaciones/diagnostico.png,"X Pujil, Calakmul",
6,"Las funciones del paisaje: una perspectiva para el Ordenamiento Territorial en Calakmul, Campeche","Arturo Arreola, Gontrán Villalobos",calakmul,2008,http://idesmac.org.mx/images/publicaciones/oet_calakmul.jpg,calakmul,
7,Acuerdos Municipales para el turismo alternativo en Calakmul,"consejo Municipal, IDESMAC",calakmul,2014,http://idesmac.org.mx/images/publicaciones/plan-turismo.jpg,calakmul,
8," Plan Maestro de Desarrollo Ecoturísticopara Playas de Catazajá, Chiapas",Cristina Reyes,ecoturismo,2006,http://idesmac.org.mx/images/publicaciones/planmaestro.jpg,catazaja,
9,"Estudio del potencial turístico en Playas de Catazajá,Chiapas",Cristina Reyes,ecoturismo,2005,http://idesmac.org.mx/images/publicaciones/factibilidad.jpg,catazaja,
10,"Ordenamiento TerritorialMicrorregión Agua Blanca","Arturo Arreola, José Sánchez Castillo,  Alma Vargas  de la Mora,  Luis  Hernández Zárate",ordenamiento,2011,http://idesmac.org.mx/images/publicaciones/aguablanca.jpg,tabasco,
11,"Ordenamiento Ecológico del Territorio para el municipio de Catazajá, Chiapas",idesmac,ordenamiento,2004,http://idesmac.org.mx/images/publicaciones/cabildo.jpg,catazaja,
12,"Ordenamiento TerritorialMicrorregión Sierra de Tabasco","Arturo Arreola, José Sánchez Castillo,  Alma Vargas  de la Mora,  Luis  Hernández Zárate",ordenamiento,2011,http://idesmac.org.mx/images/publicaciones/tabasco.jpg,tabasco,
13,"Ordenamiento Territorial de laMicrorregión Cañón del Usumacintamunicipio de Tenosique, Tabasco","Arturo Arreola, Cristina Reyes, Elsy Segura, Luis Hernández, José López",ordenamiento,2011,http://idesmac.org.mx/images/publicaciones/usumacinta.jpg,tabasco,
14,"Ordenamiento TerritorialComunitario","Salvador Anta Fonseca,  Arturo Arreola, Marco González, Jorge Acosta",ordenamiento,2006,http://idesmac.org.mx/images/publicaciones/otc.jpg,,
15, Programa de Ordenamiento Ecológico y Territorial del estado de Chiapas,"Arturo Arreola, Cristina Reyes, Luis Hernández, Aurora Becerril",ordenamiento,2014,http://idesmac.org.mx/images/publicaciones/poetch.jpg,chiapas,
16,La participación comunitaria: una alternativa metodológica de planeación socioeconómica regional,"Arturo Arreola, Antonio Saldívar",ordenamiento,1995,http://idesmac.org.mx/images/publicaciones/participacion_comunitaria.jpg,chiapas,
17,"Evaluación de Proyectos de Desarrollo Ruralen el área del Corredor Biológico Mesoamericano-Chiapas ","Arturo Arreola, Víctor Peresgrovas, Cristina Reyes, Reyna Pérez,  Rabiel Martínez",otros,2013,http://idesmac.org.mx/images/publicaciones/corredor.jpg,chiapas,
18,Conservación de Suelos y Captación de agua en 3 microrregiones en San Juan Cancuc ,idesmac,otros,2015,http://idesmac.org.mx/images/publicaciones/cdi.jpg,san juan cancuc,
19,Estrategia Nacional de experiencia de aprendizaje de los Custodios de la tierra,idesmac,otros,2015,http://idesmac.org.mx/images/publicaciones/custodios.jpg,,
20,"Red para la Conservación de Áreas Naturales Protegidas Comunitarias de Chiapas, A.C.",idesmac,areas naturales,2015,http://idesmac.org.mx/images/publicaciones/redanpc.jpg,chiapas,https://drive.google.com/file/d/0Bzgo-DfzyRMfWXN2cWswN0ttV1E/view
21,Manual para el fortalecimiento de los administradores de las ANPC,idesmac,areas naturales,2015,http://idesmac.org.mx/images/publicaciones/administradoranpc.jpg,chiapas,
22, Red de Áreas Naturales y Protegidas Comunitarias y Servicios Ambientales en Chiapas,"Cristina Reyes, César Sánchez",areas naturales,2013,http://idesmac.org.mx/images/publicaciones/ranpc.jpg,chiapas,
23,Manual para la elaboración del plan de manejo de Áreas Naturales Protegidas comunitarias.,"Arturo Arreola, Diana Burgos, César Sánchez, Habaruc Ychante, Fidencio Gómez",areas naturales,2015,http://idesmac.org.mx/images/publicaciones/manejoanpc.jpg,chiapas,
24,"Atlas de Riesgo a Desastres en laRegión Soconusco, Chiapas","Cristina Reyes, Gontrán Villalobos, Arturo Arreola, Emanuel Gómez",riesgo,2013,http://idesmac.org.mx/images/publicaciones/soconusco.jpg,soconusco,
25,Estudio para la delimitación de áreas de riesgo e impacto de los fenómenos hidrometeorológicos,idesmac,riesgo,2013,http://idesmac.org.mx/images/publicaciones/cuxtepeques.jpg,Cuxtepeques,
26,Cuaderno de Prevención de Desastres para el municipio de Acacoyagua,"Cristina Reyes, Gontrán Villalobos, Arturo Arreola, Emanuel Gómez",riesgo,2008,http://idesmac.org.mx/images/publicaciones/acacoyagua.jpg,Acacoyagua,
27,"Atlas de Riesgo  Reserva  de la Biósfera Montes Azules","Aurora Becerril, Beatriz Arizmendi, Arturo Arreola",riesgo,2012,http://idesmac.org.mx/images/publicaciones/AtlasREBIMA.jpg,Montes Azules,
28," Atlas de Riesgo Reserva de laBiósfera La Encrucijada","Aurora Becerril, Beatriz Arizmendi,  Luis Hernández, Arturo Arreola",riesgo,2016,http://idesmac.org.mx/images/publicaciones/encrucijada(1).jpg,La Encrucijada,
